scene,profile,image_name,psnr,ssim,lpips,latency_ms
garden,b0,DSC07956.JPG,23.382089614868164,0.802304744720459,0.12196484953165054,14.404369983822107
garden,b0,DSC07964.JPG,22.869327545166016,0.7422003149986267,0.1591571569442749,13.172758044674993
garden,b0,DSC07972.JPG,27.32625389099121,0.8348669409751892,0.10395517945289612,13.48127203527838
garden,b0,DSC07980.JPG,24.156526565551758,0.7795108556747437,0.11399499326944351,13.073234003968537
garden,b0,DSC07988.JPG,20.032140731811523,0.7529512047767639,0.15467198193073273,13.89346702490002
garden,b0,DSC07996.JPG,25.99506187438965,0.8304272294044495,0.12396266311407089,12.776861025486141
garden,b0,DSC08004.JPG,27.98182487487793,0.8735342621803284,0.10243061184883118,12.46084098238498
garden,b0,DSC08012.JPG,28.240856170654297,0.8896229863166809,0.07980284094810486,13.684550009202212
garden,b0,DSC08020.JPG,26.809906005859375,0.8455542922019958,0.10165636241436005,13.51067196810618
garden,b0,DSC08028.JPG,26.825407028198242,0.8397417068481445,0.10882487148046494,13.535343983676285
garden,b0,DSC08036.JPG,25.687461853027344,0.8607163429260254,0.11271077394485474,13.670546002686024
garden,b0,DSC08044.JPG,28.023513793945312,0.8704743385314941,0.09160234779119492,13.472469989210367
garden,b0,DSC08052.JPG,27.2602481842041,0.8417136073112488,0.10992565006017685,13.436211971566081
garden,b0,DSC08060.JPG,28.990982055664062,0.8630076050758362,0.10709495842456818,12.518119998276234
garden,b0,DSC08068.JPG,29.42591094970703,0.8664453625679016,0.10003694146871567,13.300076010636985
garden,b0,DSC08076.JPG,25.600811004638672,0.7978011965751648,0.1196092739701271,13.430840044748038
garden,b0,DSC08084.JPG,27.810226440429688,0.8310259580612183,0.11446724832057953,13.285169028677046
garden,b0,DSC08092.JPG,29.55488395690918,0.8749698996543884,0.11072893440723419,13.021100021433085
garden,b0,DSC08100.JPG,27.337921142578125,0.8613331913948059,0.1104213148355484,13.212963996920735
garden,b0,DSC08108.JPG,28.594640731811523,0.8745588064193726,0.11222848296165466,13.10017000650987
garden,b0,DSC08116.JPG,28.826414108276367,0.8641960620880127,0.10267583280801773,13.325774983968586
garden,b0,DSC08124.JPG,25.66338539123535,0.8162623047828674,0.12380291521549225,12.451649003196508
garden,b0,DSC08132.JPG,27.20477294921875,0.8370127081871033,0.11027152836322784,13.27116199536249
garden,b0,DSC08140.JPG,28.30362892150879,0.8767545819282532,0.08374103903770447,13.600384001620114
garden,b1,DSC07956.JPG,23.724706649780273,0.8194782137870789,0.10570530593395233,11.222788016311824
garden,b1,DSC07964.JPG,22.96784019470215,0.76064532995224,0.13945290446281433,10.99062099820003
garden,b1,DSC07972.JPG,27.77861976623535,0.8492692112922668,0.09040132164955139,10.925145994406193
garden,b1,DSC07980.JPG,24.267072677612305,0.7900639772415161,0.102023184299469,11.012214003130794
garden,b1,DSC07988.JPG,19.91696548461914,0.7682433128356934,0.1398756057024002,11.239614977966994
garden,b1,DSC07996.JPG,26.731216430664062,0.853117823600769,0.09835006296634674,10.177718009799719
garden,b1,DSC08004.JPG,28.575233459472656,0.890298068523407,0.08407780528068542,9.846625034697354
garden,b1,DSC08012.JPG,28.485660552978516,0.9036607146263123,0.06595597416162491,10.20988798700273
garden,b1,DSC08020.JPG,26.973854064941406,0.8565830588340759,0.08737239986658096,10.297518980223686
garden,b1,DSC08028.JPG,24.249387741088867,0.8524947166442871,0.09582250565290451,10.029403027147055
garden,b1,DSC08036.JPG,26.142820358276367,0.8796670436859131,0.08884340524673462,9.56604303792119
garden,b1,DSC08044.JPG,28.35683822631836,0.885326623916626,0.07376442104578018,9.964135999325663
garden,b1,DSC08052.JPG,27.473623275756836,0.8556108474731445,0.09127814322710037,10.289430967532098
garden,b1,DSC08060.JPG,29.562849044799805,0.8843310475349426,0.08452051132917404,10.145639011170715
garden,b1,DSC08068.JPG,29.87579345703125,0.8829615116119385,0.07838835567235947,9.82668501092121
garden,b1,DSC08076.JPG,25.676223754882812,0.8115485310554504,0.09754160046577454,10.110981995239854
garden,b1,DSC08084.JPG,28.077674865722656,0.8454582095146179,0.09247928857803345,9.762405999936163
garden,b1,DSC08092.JPG,30.121803283691406,0.8962382078170776,0.0831124559044838,9.56596399191767
garden,b1,DSC08100.JPG,28.090002059936523,0.8810848593711853,0.0837562084197998,9.874413022771478
garden,b1,DSC08108.JPG,29.22828483581543,0.8940838575363159,0.08981240540742874,9.741491987369955
garden,b1,DSC08116.JPG,29.306325912475586,0.8817348480224609,0.08227654546499252,10.012293001636863
garden,b1,DSC08124.JPG,25.964513778686523,0.8344131112098694,0.09657742083072662,10.045050992630422
garden,b1,DSC08132.JPG,23.414623260498047,0.8260874152183533,0.12190218269824982,9.844837011769414
garden,b1,DSC08140.JPG,28.75765609741211,0.8934124708175659,0.0656229704618454,10.661863023415208
garden,a1,DSC07956.JPG,24.071924209594727,0.8221224546432495,0.10336988419294357,11.11944200238213
garden,a1,DSC07964.JPG,22.148147583007812,0.754482090473175,0.14298653602600098,10.935883037745953
garden,a1,DSC07972.JPG,27.839218139648438,0.850371241569519,0.09003737568855286,10.576041007880121
garden,a1,DSC07980.JPG,24.184295654296875,0.7901341319084167,0.10296781361103058,10.580708971247077
garden,a1,DSC07988.JPG,20.773618698120117,0.7728630900382996,0.13394795358181,11.012944974936545
garden,a1,DSC07996.JPG,26.76374626159668,0.8539401292800903,0.09870705753564835,10.464583989232779
garden,a1,DSC08004.JPG,27.57903289794922,0.8897722959518433,0.0845634788274765,9.943694982212037
garden,a1,DSC08012.JPG,28.649574279785156,0.9037745594978333,0.06551504135131836,9.981351962778717
garden,a1,DSC08020.JPG,26.85699462890625,0.8560998439788818,0.08806239068508148,9.975804015994072
garden,a1,DSC08028.JPG,27.11412239074707,0.8574150800704956,0.09078303724527359,9.972630999982357
garden,a1,DSC08036.JPG,25.543607711791992,0.878737211227417,0.08942270278930664,9.715577005408704
garden,a1,DSC08044.JPG,28.216358184814453,0.885769784450531,0.07374484091997147,9.944921010173857
garden,a1,DSC08052.JPG,27.426137924194336,0.8552704453468323,0.09113656729459763,9.574977972079068
garden,a1,DSC08060.JPG,29.658079147338867,0.8849009275436401,0.08458869159221649,9.790131007321179
garden,a1,DSC08068.JPG,29.705324172973633,0.8831662535667419,0.079594686627388,9.406949975527823
garden,a1,DSC08076.JPG,24.828447341918945,0.8103161454200745,0.09948410093784332,9.681947005447
garden,a1,DSC08084.JPG,28.05950355529785,0.8450846076011658,0.09262527525424957,9.545058012008667
garden,a1,DSC08092.JPG,29.118621826171875,0.8941170573234558,0.09012424945831299,9.338901960290968
garden,a1,DSC08100.JPG,27.58662223815918,0.8814297318458557,0.083097904920578,9.941830998286605
garden,a1,DSC08108.JPG,29.186384201049805,0.8949706554412842,0.08798535168170929,10.046148032415658
garden,a1,DSC08116.JPG,29.086341857910156,0.8812315464019775,0.08366383612155914,10.233419016003609
garden,a1,DSC08124.JPG,25.656291961669922,0.8339394330978394,0.09706118702888489,9.625488019082695
garden,a1,DSC08132.JPG,27.54074478149414,0.85528564453125,0.08757349848747253,9.8104799981229
garden,a1,DSC08140.JPG,28.62452507019043,0.8931561708450317,0.06614173948764801,10.199402982834727
